nom;millesime;region;couleur;domaine
Nicolas Feuillatte Brut Millésimé Blanc;;Champagne;Champagne;Sélection
Nicolas Feuillatte Cuvée Palme d'or Blanc;;Champagne;Champagne;Sélection
Champagne Laurent Perrier Brut;;Champagne;Champagne;Sélection
Nicolas Feuillatte Rosé;;Champagne;Champagne;Sélection
Bollinger brut;;Champagne;Champagne;Sélection
"Bollinger  ""RD"" 2002  extra brut";;Champagne;Champagne;Sélection
Leblond Lenoir brut;;Champagne;Champagne;Sélection
Mumm Cordon Rouge brut;;Champagne;Champagne;Sélection
Laurent Perrier Rosé;;Champagne;Champagne;Sélection
Laurent Perrier Rosé;;Champagne;Champagne;Sélection
Laurent Perrier Brut;;Champagne;Champagne;Sélection
Laurent Perrier Brut;;Champagne;Champagne;Sélection
